# UV-Vis reference spectrum — [Ni(NH3)6]2+ (Ni2+, d8, blue-violet)
# Reconstructed absorption envelope from literature band maxima (sum of Gaussians).
# Sources: Chemistry LibreTexts; Doc Brown's chemistry notes; Lever, Inorganic Electronic Spectroscopy (1984).
# Reference parameters: Dq=1080 cm^-1  B=870 cm^-1  beta=0.836 (moderately covalent)
# Observed band maxima (cm^-1): 10811, 17544, 27778
# Assignments (low->high energy): 3A2g->3T2g; 3A2g->3T1g(F); 3A2g->3T1g(P)
# columns: wavenumber_cm-1	wavelength_nm	absorbance_au
4000.000000	2500.000000	0.000311
4019.346231	2487.966805	0.000324
4038.692462	2476.048893	0.000338
4058.038692	2464.244616	0.000351
4077.384923	2452.552356	0.000366
4096.731154	2440.970526	0.000381
4116.077385	2429.497569	0.000396
4135.423616	2418.131957	0.000413
4154.769847	2406.872190	0.000429
4174.116077	2395.716797	0.000447
4193.462308	2384.664333	0.000465
4212.808539	2373.713381	0.000484
4232.154770	2362.862547	0.000503
4251.501001	2352.110466	0.000523
4270.847231	2341.455795	0.000544
4290.193462	2330.897217	0.000566
4309.539693	2320.433437	0.000588
4328.885924	2310.063184	0.000611
4348.232155	2299.785210	0.000635
4367.578386	2289.598289	0.000660
4386.924616	2279.501217	0.000686
4406.270847	2269.492808	0.000713
4425.617078	2259.571902	0.000741
4444.963309	2249.737356	0.000769
4464.309540	2239.988045	0.000799
4483.655771	2230.322869	0.000830
4503.002001	2220.740741	0.000862
4522.348232	2211.240596	0.000895
4541.694463	2201.821387	0.000929
4561.040694	2192.482083	0.000964
4580.386925	2183.221672	0.001001
4599.733155	2174.039159	0.001039
4619.079386	2164.933564	0.001078
4638.425617	2155.903926	0.001119
4657.771848	2146.949298	0.001161
4677.118079	2138.068749	0.001204
4696.464310	2129.261364	0.001249
4715.810540	2120.526241	0.001295
4735.156771	2111.862496	0.001343
4754.503002	2103.269258	0.001393
4773.849233	2094.745668	0.001444
4793.195464	2086.290884	0.001497
4812.541694	2077.904075	0.001551
4831.887925	2069.584426	0.001608
4851.234156	2061.331133	0.001666
4870.580387	2053.143405	0.001726
4889.926618	2045.020464	0.001789
4909.272849	2036.961544	0.001853
4928.619079	2028.965891	0.001919
4947.965310	2021.032763	0.001988
4967.311541	2013.161429	0.002058
4986.657772	2005.351171	0.002131
5006.004003	1997.601279	0.002207
5025.350233	1989.911058	0.002284
5044.696464	1982.279820	0.002365
5064.042695	1974.706890	0.002447
5083.388926	1967.191601	0.002533
5102.735157	1959.733298	0.002620
5122.081388	1952.331336	0.002711
5141.427618	1944.985079	0.002805
5160.773849	1937.693899	0.002901
5180.120080	1930.457180	0.003000
5199.466311	1923.274314	0.003103
5218.812542	1916.144702	0.003208
5238.158773	1909.067753	0.003317
