# UV-Vis reference spectrum — [Ni(H2O)6]2+ (Ni2+, d8, green)
# Reconstructed absorption envelope from literature band maxima (sum of Gaussians).
# Sources: Chemistry LibreTexts; Doc Brown's chemistry notes; Lever, Inorganic Electronic Spectroscopy (1984).
# Reference parameters: Dq=850 cm^-1  B=890 cm^-1  beta=0.855 (weakly covalent)
# Observed band maxima (cm^-1): 8503, 13793, 25316
# Assignments (low->high energy): 3A2g->3T2g; 3A2g->3T1g(F); 3A2g->3T1g(P)
# columns: wavenumber_cm-1	wavelength_nm	absorbance_au
4000.000000	2500.000000	0.015306
4019.346231	2487.966805	0.015722
4038.692462	2476.048893	0.016148
4058.038692	2464.244616	0.016583
4077.384923	2452.552356	0.017028
4096.731154	2440.970526	0.017483
4116.077385	2429.497569	0.017948
4135.423616	2418.131957	0.018423
4154.769847	2406.872190	0.018909
4174.116077	2395.716797	0.019406
4193.462308	2384.664333	0.019913
4212.808539	2373.713381	0.020430
4232.154770	2362.862547	0.020959
4251.501001	2352.110466	0.021500
4270.847231	2341.455795	0.022051
4290.193462	2330.897217	0.022614
4309.539693	2320.433437	0.023189
4328.885924	2310.063184	0.023776
4348.232155	2299.785210	0.024375
4367.578386	2289.598289	0.024985
4386.924616	2279.501217	0.025609
4406.270847	2269.492808	0.026244
4425.617078	2259.571902	0.026893
4444.963309	2249.737356	0.027554
4464.309540	2239.988045	0.028228
4483.655771	2230.322869	0.028916
4503.002001	2220.740741	0.029617
4522.348232	2211.240596	0.030331
4541.694463	2201.821387	0.031059
4561.040694	2192.482083	0.031800
4580.386925	2183.221672	0.032556
4599.733155	2174.039159	0.033326
4619.079386	2164.933564	0.034110
4638.425617	2155.903926	0.034908
4657.771848	2146.949298	0.035721
4677.118079	2138.068749	0.036549
4696.464310	2129.261364	0.037391
4715.810540	2120.526241	0.038249
4735.156771	2111.862496	0.039121
4754.503002	2103.269258	0.040009
4773.849233	2094.745668	0.040913
4793.195464	2086.290884	0.041832
4812.541694	2077.904075	0.042766
4831.887925	2069.584426	0.043717
4851.234156	2061.331133	0.044683
4870.580387	2053.143405	0.045666
4889.926618	2045.020464	0.046665
4909.272849	2036.961544	0.047680
4928.619079	2028.965891	0.048712
4947.965310	2021.032763	0.049760
4967.311541	2013.161429	0.050825
4986.657772	2005.351171	0.051906
5006.004003	1997.601279	0.053005
5025.350233	1989.911058	0.054120
5044.696464	1982.279820	0.055253
5064.042695	1974.706890	0.056403
5083.388926	1967.191601	0.057570
5102.735157	1959.733298	0.058754
5122.081388	1952.331336	0.059956
5141.427618	1944.985079	0.061176
5160.773849	1937.693899	0.062413
5180.120080	1930.457180	0.063667
5199.466311	1923.274314	0.064940
5218.812542	1916.144702	0.066230
5238.158773	1909.067753	0.067538
5257.505003	1902.042888	0.068864
5276.851234	1895.069532	0.070208
5296.197465	1888.147122	0.071570
5315.543696	1881.275100	0.072950
5334.889927	1874.452920	0.074348
5354.236157	1867.680040	0.075764
5373.582388	1860.955928	0.077198
5392.928619	1854.280059	0.078650
5412.274850	1847.651917	0.080120
5431.621081	1841.070990	0.081608
5450.967312	1834.536776	0.083114
5470.313542	1828.048780	0.084638
5489.659773	1821.606514	0.086181
5509.006004	1815.209494	0.087741
5528.352235	1808.857246	0.089319
5547.698466	1802.549303	0.090915
5567.044696	1796.285201	0.092529
5586.390927	1790.064485	0.094161
5605.737158	1783.886707	0.095810
5625.083389	1777.751423	0.097477
5644.429620	1771.658196	0.099162
5663.775851	1765.606596	0.100864
5683.122081	1759.596197	0.102584
5702.468312	1753.626579	0.104320
5721.814543	1747.697330	0.106074
5741.160774	1741.808041	0.107845
5760.507005	1735.958309	0.109633
5779.853235	1730.147738	0.111438
5799.199466	1724.375935	0.113260
