state,cm,eV
5_E,0,0.0000
3_T_1,2282,0.2829
1_T_2,14544,1.8032
1_E,15861,1.9665
3_E,22643,2.8074
3_T_1,23829,2.9544
5_T_2,24000,2.9756
3_T_2,24860,3.0822
1_A_1,26289,3.2595
3_A_1,26481,3.2832
3_A_2,27429,3.4008
3_E,30561,3.7891
1_A_2,34384,4.2630
1_T_2,34568,4.2859
1_T_1,37385,4.6351
1_E,39798,4.9343
3_T_1,39811,4.9359
3_T_2,42048,5.2133
3_T_1,47128,5.8431
3_T_2,48916,6.0648
3_E,52169,6.4681
1_A_1,52424,6.4998
3_T_2,53786,6.6687
1_T_1,54499,6.7571
1_T_2,56031,6.9470
1_T_2,57256,7.0989
3_T_1,57717,7.1561
1_E,58898,7.3024
1_A_1,60923,7.5535
1_T_2,68341,8.4732
1_A_2,69059,8.5623
1_T_1,70041,8.6839
3_T_1,72371,8.9728
3_A_2,76390,9.4712
3_T_1,82294,10.2031
1_E,82461,10.2238
1_T_1,87133,10.8031
3_T_2,87582,10.8587
1_T_2,94148,11.6729
1_A_1,101631,12.6007
1_T_2,105289,13.0542
1_E,105717,13.1072
1_A_1,133641,16.5693
