state,cm,eV
1_A_1,0,0.0000
5_T_2,5105,0.6330
3_T_1,9992,1.2388
3_T_2,16118,1.9983
1_T_1,21039,2.6085
5_E,29105,3.6086
3_T_1,31142,3.8612
3_T_2,32607,4.0427
1_T_2,33477,4.1507
3_E,35421,4.3917
3_T_1,36125,4.4789
3_T_2,40359,5.0038
1_T_2,44462,5.5126
1_E,44742,5.5473
1_A_1,45958,5.6981
3_A_2,49476,6.1342
1_T_1,51566,6.3933
1_A_2,52570,6.5179
1_T_2,54499,6.7571
3_T_1,54522,6.7598
3_E,55471,6.8776
3_T_2,58597,7.2651
3_A_1,59170,7.3362
3_T_1,60306,7.4770
1_E,63516,7.8750
3_E,64748,8.0277
1_T_2,66189,8.2064
1_E,70376,8.7255
1_A_2,71835,8.9064
1_A_1,74386,9.2226
3_A_2,75135,9.3155
1_T_1,76023,9.4256
1_T_2,77036,9.5513
3_T_1,83237,10.3201
3_T_2,84571,10.4855
1_T_2,89799,11.1337
3_T_1,92758,11.5005
1_T_1,96868,12.0101
1_A_1,97443,12.0813
1_E,100150,12.4170
1_E,107432,13.3199
1_T_2,121158,15.0217
1_A_1,148159,18.3694
