state,cm,eV
1_A_1,0,0.0000
5_T_2,7550,0.9360
3_T_1,10861,1.3465
3_T_2,17110,2.1213
1_T_1,21232,2.6324
5_E,31550,3.9117
3_T_1,32201,3.9924
3_T_2,33764,4.1862
1_T_2,33867,4.1990
3_E,36605,4.5384
3_T_1,37197,4.6118
3_T_2,41617,5.1598
1_T_2,44879,5.5643
1_E,44919,5.5692
1_A_1,46187,5.7264
3_A_2,50023,6.2020
1_T_1,52045,6.4528
1_A_2,53126,6.5867
1_T_2,55081,6.8291
3_T_1,55578,6.8908
3_E,56616,7.0195
3_T_2,59633,7.3935
3_A_1,60362,7.4839
3_T_1,61441,7.6177
1_E,63545,7.8785
3_E,66024,8.1860
1_T_2,66438,8.2373
1_E,70925,8.7935
1_A_2,72410,8.9777
1_A_1,74567,9.2452
3_A_2,76140,9.4401
1_T_1,76508,9.4858
1_T_2,77559,9.6160
3_T_1,83887,10.4007
3_T_2,85285,10.5740
1_T_2,89726,11.1247
3_T_1,93445,11.5857
1_T_1,97005,12.0271
1_A_1,97563,12.0962
1_E,100649,12.4789
1_E,107380,13.3134
1_T_2,121402,15.0519
1_A_1,147125,18.2412
