# state	cm	eV
1_A_1	0	0.0000
5_T_2	7550	0.9060
3_T_1	10861	1.3033
3_T_2	17110	2.0532
1_T_1	21232	2.5478
3_E_1	30186	3.6224
5_E_1	31550	3.7860
3_T_1	32201	3.8641
3_T_2	33764	4.0516
1_T_2	33867	4.0641
3_T_1	37197	4.4636
3_E_1	40241	4.8289
3_T_2	41617	4.9940
1_T_2	44879	5.3855
1_E_1	44919	5.3902
1_A_1	46187	5.5424
3_A_2	50023	6.0027
1_T_1	52045	6.2454
1_A_2	53126	6.3751
1_T_2	55081	6.6097
3_T_1	55578	6.6694
3_T_2	59633	7.1559
3_E_1	60017	7.2021
3_A_1	60362	7.2434
3_T_1	61441	7.3729
1_E_1	63545	7.6253
1_T_2	66438	7.9726
1_E_1	70925	8.5109
1_A_2	72410	8.6892
1_A_1	74567	8.9481
3_A_2	76140	9.1368
1_T_1	76508	9.1810
1_T_2	77559	9.3070
3_T_1	83887	10.0665
3_T_2	85285	10.2342
1_T_2	89726	10.7672
3_T_1	93445	11.2134
1_T_1	97005	11.6406
1_A_1	97563	11.7075
1_E_1	100649	12.0779
1_E_1	107380	12.8856
1_T_2	121402	14.5682
1_A_1	147125	17.6550
