state,cm,eV
1_A_1,0,0.0000
5_T_2,5101,0.6122
3_T_1,9990,1.1988
3_T_2,16116,1.9339
1_T_1,21039,2.5247
5_E_1,29101,3.4922
3_T_1,31141,3.7369
3_T_2,32605,3.9126
1_T_2,33477,4.0172
3_E_1,35419,4.2503
3_T_1,36123,4.3348
3_T_2,40357,4.8428
1_T_2,44461,5.3353
1_E_1,44741,5.3690
1_A_1,45958,5.5150
3_A_2,49475,5.9370
1_T_1,51565,6.1878
1_A_2,52570,6.3084
1_T_2,54499,6.5399
3_T_1,54520,6.5424
3_E_1,55470,6.6564
3_T_2,58595,7.0314
3_A_1,59168,7.1002
3_T_1,60305,7.2365
1_E_1,63517,7.6220
3_E_1,64746,7.7696
1_T_2,66189,7.9427
1_E_1,70375,8.4450
1_A_2,71834,8.6201
1_A_1,74385,8.9263
3_A_2,75134,9.0160
1_T_1,76022,9.1227
1_T_2,77036,9.2443
3_T_1,83237,9.9884
3_T_2,84570,10.1484
1_T_2,89800,10.7760
3_T_1,92757,11.1308
1_T_1,96868,11.6242
1_A_1,97443,11.6932
1_E_1,100150,12.0180
1_E_1,107432,12.8919
1_T_2,121158,14.5390
1_A_1,148162,17.7794
